Delivery City,Delivery Pincode,Courier,Zone
delhi,110017,DTDC Surface,z_a
delhi,110017,Amazon,z_a
delhi,110017,Shadowfax,z_a
delhi,110018,sr cargo domestic,z_a
delhi,110018,Blue Dart,z_a
delhi,110018,Delhivery,z_a
delhi,110018,Ekart,z_a
delhi,110018,Ekart  20 KG,z_a
delhi,110018,Shadowfax,z_a
delhi,110018,Xpressbees Surface,z_a
delhi,110018,DTDC,z_a
delhi,110018,India Post,z_a
delhi,110018,DTDC Surface,z_a
delhi,110018,Amazon,z_a
delhi,110018,Ecom Express,z_a
delhi,110019,Ecom Express,z_a
delhi,110019,Ekart,z_a
delhi,110019,Xpressbees Surface,z_a
delhi,110019,DTDC,z_a
delhi,110019,sr cargo domestic,z_a
delhi,110019,Ekart  20 KG,z_a
delhi,110019,Shadowfax,z_a
delhi,110019,Blue Dart,z_a
delhi,110019,Delhivery,z_a
delhi,110019,DTDC Surface,z_a
delhi,110019,Amazon,z_a
delhi,110019,India Post,z_a
delhi,110020,Delhivery,z_a
delhi,110020,Shadowfax,z_a
delhi,110020,sr cargo domestic,z_a
delhi,110020,Xpressbees Surface,z_a
delhi,110020,DTDC,z_a
delhi,110020,DTDC Surface,z_a
delhi,110020,Amazon,z_a
delhi,110020,India Post,z_a
delhi,110021,Delhivery,z_a
delhi,110021,Ekart,z_a
delhi,110021,Ekart  20 KG,z_a
delhi,110021,Shadowfax,z_a
delhi,110021,Blue Dart,z_a
delhi,110021,Ecom Express,z_a
delhi,110021,sr cargo domestic,z_a
delhi,110021,DTDC Surface,z_a
delhi,110021,Amazon,z_a
delhi,110022,DTDC,z_a
delhi,110022,Xpressbees Surface,z_a
delhi,110022,Delhivery,z_a
delhi,110022,Ekart  20 KG,z_a
delhi,110022,Shadowfax,z_a
delhi,110022,Blue Dart,z_a
delhi,110022,Ekart,z_a
delhi,110022,India Post,z_a
delhi,110022,DTDC Surface,z_a
delhi,110022,Amazon,z_a
delhi,110023,sr cargo domestic,z_a
delhi,110023,Delhivery,z_a
delhi,110023,Ekart,z_a
delhi,110023,Ekart  20 KG,z_a
delhi,110023,Shadowfax,z_a
delhi,110023,Blue Dart,z_a
delhi,110023,Xpressbees Surface,z_a
delhi,110023,DTDC,z_a
delhi,110023,India Post,z_a
delhi,110023,DTDC Surface,z_a
delhi,110023,Amazon,z_a
delhi,110024,Ekart,z_a
delhi,110024,DTDC,z_a
delhi,110024,Xpressbees Surface,z_a
delhi,110024,sr cargo domestic,z_a
delhi,110024,Ekart  20 KG,z_a
delhi,110024,Shadowfax,z_a
delhi,110024,Blue Dart,z_a
delhi,110024,Delhivery,z_a
delhi,110024,India Post,z_a
delhi,110024,DTDC Surface,z_a
delhi,110024,Amazon,z_a
delhi,110025,Delhivery,z_a
delhi,110025,Shadowfax,z_a
delhi,110025,sr cargo domestic,z_a
delhi,110025,Xpressbees Surface,z_a
delhi,110025,DTDC,z_a
delhi,110025,India Post,z_a
delhi,110025,DTDC Surface,z_a
delhi,110025,Amazon,z_a
delhi,110026,Ekart  20 KG,z_a
delhi,110026,Shadowfax,z_a
delhi,110026,Blue Dart,z_a
delhi,110026,Delhivery,z_a
delhi,110026,Ekart,z_a
